,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
35060,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Female,Developer; Programmer,Embedded application developer,Embedded application developer,2 - 5 years,3.5,"$50,000 - $60,000",55000.0,1.53,Android; C#; iOS; Java; Objective-C; Swift,Android; C#; iOS; Objective-C; Swift; Windows Phone,Yes,6.0,Employed full-time,Software Products,20-99 employees,1-4 people,1,I rarely work remotely,I love my job,A friend referred me,Eclipse; Xcode,Multiple times a day,None,Other (please specify),Mac OS X,I don't know,101 - 500,Multiple times a day,I want to be a better developer,,I am not interested in new job opportunities,Salary; Building something that's significant; Building something that's innovative,Other (please specify),20%,Show me more live code,Star Wars,Neutral,Neutral,Agree completely,Agree somewhat,Neutral,Disagree completely,Neutral,Disagree completely,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes,To get help for my job; To give help to others
35062,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"$10,000 - $20,000",15000.0,1.53,"Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; Python; Redis; SQL",Arduino / Raspberry Pi; JavaScript; MongoDB; Python; SQL,Yes,7.0,Freelance / Contractor,Web Services,1-4 employees,1-4 people,0,Full-time remote,I love my job,Facebook,Notepad++; PyCharm,Multiple times a day,5-10 hours per week,Dogs,Windows 7,Yes,I don't have an account,Once a week,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Industry; Tech stack; Work/life balance,Finding an open job that I'm qualified for,70%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Neutral,Agree completely,Neutral,Agree somewhat,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,I don't care about this,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,Interacting with non-technical people,To get help for my job
35063,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Female,Developer; Programmer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"Less than $10,000",5000.0,1.53,JavaScript; PHP; SQL,Java,Yes,7.0,Employed full-time,Other (please specify),100-499 employees,5-9 people,1,I rarely work remotely,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",PhpStorm,Multiple times a day,10-20 hours per week,Dogs,Windows 7,I don't know,I don't have an account,Once a day,I want to be a better developer,,I am not interested in new job opportunities,Salary; Opportunity for advancement; Building something that's significant,Writing my CV and keeping it updated,100%,interview_coffee,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Agree somewhat,Agree somewhat,Neutral,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Poor documentation; Interacting with stupid people; Changing requirements,To receive help on my personal projects
35064,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Sr. Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,1.53,Go; JavaScript; LAMP; PHP; ReactJS; Ruby,Arduino / Raspberry Pi; AngularJS; C++; Go; JavaScript; LAMP; PHP; ReactJS; Redis; Ruby; Rust,Yes,8.0,Employed full-time,Web Services,20-99 employees,5-9 people,2,Never,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; PhpStorm; RubyMine,A couple times a week,2-5 hours per week,Cats,Ubuntu,Yes,I don't have an account,Very rarely,I want to be a better developer,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Opportunity for advancement; Company culture,Writing cover letters,80%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the boss,Star Wars; Star Trek,Agree somewhat,Neutral,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Neutral,Agree somewhat,Agree completely,I don't care about this,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,Inefficient development processes; Corporate policies; Non-technical management,Beacause I love to learn
35066,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Programmer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,1.53,C#,C#,Yes,4.0,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35071,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,35-39,37.0,Male,Developer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,1.53,PHP,PHP; SQL,No,1.0,Unemployed,,,,,,,,Notepad++,Once a day,2-5 hours per week,Cats,Windows 8,I don't know,I don't have an account,I have never been on Stack Overflow. I just love taking surveys.,To pursue career goals,I'm self-taught,I am actively looking for a new job,Salary; Work/life balance; Remote working option; Flexible work hours,Writing cover letters,0%,Show me more live code; Introduce me to the team; Show me the space in which I will work,,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,Disagree completely,Disagree completely,Disagree completely,Disagree completely,Disagree completely,I don't care about this,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,I don't care about this,This is very important,I don't care about this,Unrealistic expectations,I don't really use Stack Overflow. I just take surveys.
35078,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,40-49,44.5,Prefer not to disclose,Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,AngularJS; Haskell; JavaScript; Node.js; PHP; Python; Windows Phone,AngularJS; JavaScript; Node.js; PHP; Python,No,5.0,Employed full-time,Telecommunications,1-4 employees,1-4 people,1,Never,I love my job,Other,IntelliJ,Multiple times a day,None,Dogs,Windows 7,Yes,I don't have an account,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",,The interview process,20%,Show me more live code; Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Disagree completely,Neutral,Disagree completely,Neutral,Agree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,,To get help for my job; To give help to others
35079,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Programmer,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,Android; C++; C#; Java; SQL; SQL Server,Android; Arduino / Raspberry Pi; C++; Java; Python; R,No,7.0,Employed part-time,Other (please specify),100-499 employees,15-20 people,6,Never,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Sublime; Android Studio; IntelliJ,Multiple times a day,2-5 hours per week,Cats,Windows 10,Yes,1,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Work/life balance; Office location; Quality of colleagues; Company culture; Building something that's significant,Searching for a job that seems interesting,40%,Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Neutral,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,Fragile code base; Poor documentation; Trying to be nice,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
35083,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Programmer,Desktop developer,Desktop developer,1 - 2 years,1.5,"Less than $10,000",5000.0,1.53,Android; C; C++; Java; JavaScript; SQL,Go; iOS; Python,Yes,6.0,Employed full-time,Software Products,20-99 employees,5-9 people,2,Never,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Atom; Android Studio,Multiple times a day,2-5 hours per week,Dogs,Fedora,I don't know,I don't have an account,Multiple times a day,To keep my skills up to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35084,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Programmer,Full-stack web developer,Full-stack web developer,Less than 1 year,0.5,"Less than $10,000",5000.0,1.53,JavaScript; LAMP; Node.js; PHP,AngularJS; JavaScript; PHP,No,5.0,Employed full-time,Web Services,5-9 employees,1-4 people,1,Never,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; PhpStorm,Once a day,2-5 hours per week,Dogs,Windows 10,I don't know,I don't have an account,Once a month,I want to be a better developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
